
iso	pop	rep	ss	fun	mw	dis
11H052	EX	1	1000	Fp	396.72	24.00
11H052	EX	2	1000	Fp	396.72	38.20
11H053	EX	1	1000	Fp	396.72	38.50
11H053	EX	2	1000	Fp	396.72	49.40
11H054	EX	1	1000	Fp	396.72	36.10
11H054	EX	2	1000	Fp	396.72	44.10
11H058	EX	1	1000	Fp	396.72	29.70
11H058	EX	2	1000	Fp	396.72	44.10
11H059	EX	1	1000	Fp	396.72	36.20
11H059	EX	2	1000	Fp	396.72	37.01
11H060	EX	1	1000	Fp	396.72	30.60
11H060	EX	2	1000	Fp	396.72	27.40
11H067	EX	1	1000	Fp	396.72	65.00
11H067	EX	2	1000	Fp	396.72	48.30
11H069	EX	1	1000	Fp	396.72	65.00
11H069	EX	1	100	Fp	396.72	22.40
11H069	EX	2	1000	Fp	396.72	47.10
11H069	EX	2	100	Fp	396.72	23.60
11H073	EX	1	1000	Fp	396.72	65.00
11H073	EX	1	100	Fp	396.72	24.90
11H073	EX	2	1000	Fp	396.72	65.00
11H073	EX	2	100	Fp	396.72	34.50
11H075	EX	1	1000	Fp	396.72	19.10
11H075	EX	1	10000	Fp	396.72	33.40
11H075	EX	2	1000	Fp	396.72	15.00
11H075	EX	2	10000	Fp	396.72	31.70
11H079	EX	1	1000	Fp	396.72	40.20
11H079	EX	2	1000	Fp	396.72	57.20
11H080	EX	1	1000	Fp	396.72	23.70
11H080	EX	2	1000	Fp	396.72	43.70
11H085	EX	1	1000	Fp	396.72	35.30
11H085	EX	2	1000	Fp	396.72	42.70
11H086	EX	1	1000	Fp	396.72	32.80
11H086	EX	2	1000	Fp	396.72	40.30
11H091	EX	1	1000	Fp	396.72	29.40
11H091	EX	2	1000	Fp	396.72	24.90
11H093	EX	1	1000	Fp	396.72	65.00
11H093	EX	1	100	Fp	396.72	45.30
11H093	EX	2	1000	Fp	396.72	65.00
11H093	EX	2	100	Fp	396.72	36.00
11J028	EX	1	1000	Fp	396.72	39.80
11J028	EX	2	1000	Fp	396.72	25.30
11J035	EX	1	1000	Fp	396.72	20.20
11J035	EX	1	10000	Fp	396.72	30.00
11J035	EX	2	1000	Fp	396.72	16.00
11J035	EX	2	10000	Fp	396.72	20.90
11J036	EX	1	1000	Fp	396.72	26.40
11J036	EX	2	1000	Fp	396.72	28.50
11J040	EX	1	1000	Fp	396.72	26.00
11J040	EX	2	1000	Fp	396.72	27.10
11J041	EX	1	1000	Fp	396.72	15.00
11J041	EX	1	10000	Fp	396.72	23.70
11J041	EX	2	1000	Fp	396.72	15.00
11J041	EX	2	10000	Fp	396.72	24.60
11J042	EX	1	1000	Fp	396.72	15.00
11J042	EX	1	10000	Fp	396.72	44.20
11J042	EX	2	1000	Fp	396.72	33.80
11J042	EX	2	10000	Fp	396.72	38.10
11J046	EX	1	1000	Fp	396.72	31.50
11J046	EX	2	1000	Fp	396.72	45.00
11J047	EX	1	1000	Fp	396.72	16.00
